marca,modelo,qtd_emplacados,ano_mes
FORD,KA,104331,2019-12-01
HYUNDAI,HB20,101590,2019-12-01
RENAULT,KWID,85117,2019-12-01
VW,GOL,81285,2019-12-01
FIAT,ARGO,79000,2019-12-01
GM,PRISMA,73721,2019-12-01
VW,POLO,72057,2019-12-01
JEEP,RENEGADE,68726,2019-12-01
JEEP,COMPASS,60361,2019-12-01
HYUNDAI,CRETA,57460,2019-12-01
TOYOTA,COROLLA,56727,2019-12-01
NISSAN,KICKS,56060,2019-12-01
FIAT,MOBI,53444,2019-12-01
FORD,KA-SEDAN,51260,2019-12-01
RENAULT,SANDERO,50303,2019-12-01
HONDA,HR-V,49488,2019-12-01
VW,VIRTUS,46876,2019-12-01
VW,FOX-CROSS-FOX,38487,2019-12-01
TOYOTA,YARIS-HB,37686,2019-12-01
VW,T-CROSS,37081,2019-12-01
HYUNDAI,HB20S,34893,2019-12-01
FORD,ECOSPORT,34205,2019-12-01
VW,VOYAGE,32055,2019-12-01
TOYOTA,YARIS-SEDAN,29759,2019-12-01
RENAULT,CAPTUR,28660,2019-12-01
GM,SPIN,28361,2019-12-01
HONDA,CIVIC,27318,2019-12-01
RENAULT,LOGAN,27003,2019-12-01
GM,ONIX-PLUS,26852,2019-12-01
RENAULT,DUSTER,26090,2019-12-01
HONDA,FIT,24457,2019-12-01
FIAT,CRONOS,24080,2019-12-01
NISSAN,VERSA,21779,2019-12-01
FIAT,UNO,19928,2019-12-01
TOYOTA,ETIOS-HB,18963,2019-12-01
GM,CRUZE-SEDAN,17829,2019-12-01
CITROEN,C4-CACTUS,16438,2019-12-01
GM,TRACKER,16333,2019-12-01
FIAT,SIENA,16188,2019-12-01
HONDA,CITY,14578,2019-12-01
TOYOTA,HILUX-SW4,13523,2019-12-01
VW,UP,13460,2019-12-01
TOYOTA,ETIOS-SEDAN,13305,2019-12-01
GM,COBALT,13103,2019-12-01
VW,TIGUAN,13074,2019-12-01
HONDA,WR-V,12160,2019-12-01
VW,JETTA,11248,2019-12-01
PEUGEOT,2008,8693,2019-12-01
CHERY,TIGGO-5X,7971,2019-12-01
