marca,modelo,qtd_emplacados,ano_mes,tipo
GM,ONIX,7162,2023-01-01,automoveis
GM,ONIX-PLUS,6164,2023-01-01,automoveis
GM,TRACKER,5296,2023-01-01,automoveis
HYUNDAI,CRETA,4969,2023-01-01,automoveis
HYUNDAI,HB20,4840,2023-01-01,automoveis
VW,T-CROSS,4454,2023-01-01,automoveis
FIAT,ARGO,4282,2023-01-01,automoveis
FIAT,MOBI,4208,2023-01-01,automoveis
JEEP,COMPASS,4139,2023-01-01,automoveis
VW,GOL,3387,2023-01-01,automoveis
RENAULT,KWID,3307,2023-01-01,automoveis
VW,NIVUS,3100,2023-01-01,automoveis
JEEP,RENEGADE,3049,2023-01-01,automoveis
FIAT,PULSE,3015,2023-01-01,automoveis
NISSAN,KICKS,2984,2023-01-01,automoveis
FIAT,FASTBACK,2707,2023-01-01,automoveis
TOYOTA,COROLLA-CROSS,2604,2023-01-01,automoveis
FIAT,CRONOS,2481,2023-01-01,automoveis
TOYOTA,COROLLA,2238,2023-01-01,automoveis
VW,POLO,2115,2023-01-01,automoveis
TOYOTA,YARIS-HB,2072,2023-01-01,automoveis
VW,VOYAGE,2004,2023-01-01,automoveis
HYUNDAI,HB20S,1684,2023-01-01,automoveis
RENAULT,DUSTER,1495,2023-01-01,automoveis
CITROEN,C3,1488,2023-01-01,automoveis
HONDA,CITY-HATCH,1442,2023-01-01,automoveis
GM,SPIN,1415,2023-01-01,automoveis
JEEP,COMMANDER,1289,2023-01-01,automoveis
PEUGEOT,208,1201,2023-01-01,automoveis
VW,TAOS,1184,2023-01-01,automoveis
TOYOTA,YARIS-SEDAN,1099,2023-01-01,automoveis
HONDA,CITY,1091,2023-01-01,automoveis
TOYOTA,HILUX-SW4,937,2023-01-01,automoveis
HONDA,HR-V,698,2023-01-01,automoveis
CAOA-CHERY,TIGGO-8,588,2023-01-01,automoveis
VOLVO,XC60,578,2023-01-01,automoveis
VW,VIRTUS,490,2023-01-01,automoveis
RENAULT,SANDERO,488,2023-01-01,automoveis
CAOA-CHERY,TIGGO-7,372,2023-01-01,automoveis
GM,EQUINOX,316,2023-01-01,automoveis
NISSAN,VERSA,313,2023-01-01,automoveis
CAOA-CHERY,TIGGO-5X,293,2023-01-01,automoveis
RENAULT,LOGAN,286,2023-01-01,automoveis
BMW,320I,254,2023-01-01,automoveis
CITROEN,C4-CACTUS,253,2023-01-01,automoveis
MITSUBISHI,ECLIPSE-CROSS,215,2023-01-01,automoveis
PEUGEOT,2008,158,2023-01-01,automoveis
VOLVO,XC40,156,2023-01-01,automoveis
MITSUBISHI,PAJERO,138,2023-01-01,automoveis
BMW,X3,119,2023-01-01,automoveis
