marca,modelo,qtd_emplacados,ano_mes
GM,ONIX,210458,2018-12-01
HYUNDAI,HB20,105506,2018-12-01
FORD,KA,103286,2018-12-01
VW,GOL,77612,2018-12-01
GM,PRISMA,71735,2018-12-01
VW,POLO,69584,2018-12-01
RENAULT,KWID,67320,2018-12-01
FIAT,ARGO,63011,2018-12-01
JEEP,COMPASS,60284,2018-12-01
TOYOTA,COROLLA,59062,2018-12-01
RENAULT,SANDERO,52401,2018-12-01
FIAT,MOBI,49491,2018-12-01
HYUNDAI,CRETA,48976,2018-12-01
HONDA,HR-V,47959,2018-12-01
NISSAN,KICKS,46812,2018-12-01
JEEP,RENEGADE,46344,2018-12-01
VW,VIRTUS,41634,2018-12-01
VW,FOX-CROSS-FOX,39260,2018-12-01
FORD,KA-SEDAN,39027,2018-12-01
FORD,ECOSPORT,34497,2018-12-01
VW,VOYAGE,32683,2018-12-01
HYUNDAI,HB20S,32155,2018-12-01
FIAT,CRONOS,29307,2018-12-01
NISSAN,VERSA,27993,2018-12-01
TOYOTA,ETIOS-HB,27847,2018-12-01
HONDA,FIT,27359,2018-12-01
RENAULT,CAPTUR,26504,2018-12-01
GM,TRACKER,26100,2018-12-01
HONDA,CIVIC,25942,2018-12-01
GM,SPIN,25192,2018-12-01
RENAULT,DUSTER,23579,2018-12-01
RENAULT,LOGAN,22471,2018-12-01
GM,COBALT,21488,2018-12-01
TOYOTA,ETIOS-SEDAN,21207,2018-12-01
VW,UP,20563,2018-12-01
GM,CRUZE-SEDAN,19828,2018-12-01
TOYOTA,YARIS-HB,18584,2018-12-01
FIAT,SIENA,17470,2018-12-01
FIAT,UNO,15151,2018-12-01
HONDA,CITY,14900,2018-12-01
HONDA,WR-V,14797,2018-12-01
FORD,FIESTA,14505,2018-12-01
TOYOTA,YARIS-SEDAN,13674,2018-12-01
TOYOTA,HILUX-SW4,13481,2018-12-01
NISSAN,MARCH,11947,2018-12-01
PEUGEOT,2008,9745,2018-12-01
HYUNDAI,IX35,8525,2018-12-01
PEUGEOT,208,7092,2018-12-01
CITROEN,C3,6378,2018-12-01
VW,TIGUAN,5771,2018-12-01
