marca,modelo,qtd_emplacados,ano_mes
HYUNDAI,HB20,96255,2022-12-01
GM,ONIX,85252,2022-12-01
GM,ONIX-PLUS,75243,2022-12-01
FIAT,MOBI,72756,2022-12-01
VW,GOL,72606,2022-12-01
GM,TRACKER,70806,2022-12-01
VW,T-CROSS,65341,2022-12-01
FIAT,ARGO,64016,2022-12-01
JEEP,COMPASS,63564,2022-12-01
HYUNDAI,CRETA,62651,2022-12-01
RENAULT,KWID,57388,2022-12-01
JEEP,RENEGADE,51398,2022-12-01
FIAT,PULSE,50522,2022-12-01
TOYOTA,COROLLA,42887,2022-12-01
TOYOTA,COROLLA-CROSS,42506,2022-12-01
FIAT,CRONOS,41680,2022-12-01
VW,NIVUS,39463,2022-12-01
NISSAN,KICKS,38983,2022-12-01
VW,VOYAGE,35928,2022-12-01
PEUGEOT,208,29918,2022-12-01
TOYOTA,YARIS-HB,26614,2022-12-01
HYUNDAI,HB20S,25497,2022-12-01
RENAULT,DUSTER,22690,2022-12-01
JEEP,COMMANDER,22355,2022-12-01
HONDA,CITY,22132,2022-12-01
CITROEN,C4-CACTUS,18450,2022-12-01
GM,SPIN,17816,2022-12-01
HONDA,CITY-HATCH,16115,2022-12-01
TOYOTA,YARIS-SEDAN,15783,2022-12-01
HONDA,HR-V,15404,2022-12-01
TOYOTA,HILUX-SW4,13718,2022-12-01
VW,TAOS,11737,2022-12-01
CITROEN,C3,10834,2022-12-01
RENAULT,SANDERO,10673,2022-12-01
CAOA-CHERY,TIGGO-8,10439,2022-12-01
RENAULT,LOGAN,10320,2022-12-01
FIAT,FASTBACK,9889,2022-12-01
CAOA-CHERY,TIGGO-5X,9653,2022-12-01
CAOA-CHERY,TIGGO-7,8876,2022-12-01
GM,CRUZE-SEDAN,8517,2022-12-01
VW,POLO,8193,2022-12-01
NISSAN,VERSA,5662,2022-12-01
VW,VIRTUS,5626,2022-12-01
PEUGEOT,2008,5176,2022-12-01
BMW,320I,4909,2022-12-01
FIAT,SIENA,4141,2022-12-01
MITSUBISHI,ECLIPSE-CROSS,3725,2022-12-01
CAOA-CHERY,TIGGO-3X,3656,2022-12-01
BMW,X1,3479,2022-12-01
GM,TRAILBLAZER,3208,2022-12-01
