marca,modelo,qtd_emplacados,ano_mes
HYUNDAI,HB20,86548,2020-12-01
GM,ONIX-PLUS,83392,2020-12-01
VW,GOL,71151,2020-12-01
FORD,KA,67491,2020-12-01
FIAT,ARGO,65937,2020-12-01
VW,T-CROSS,60119,2020-12-01
JEEP,RENEGADE,56865,2020-12-01
JEEP,COMPASS,52966,2020-12-01
RENAULT,KWID,49475,2020-12-01
GM,TRACKER,49372,2020-12-01
HYUNDAI,CRETA,47757,2020-12-01
FIAT,MOBI,46617,2020-12-01
VW,POLO,41836,2020-12-01
TOYOTA,COROLLA,41072,2020-12-01
NISSAN,KICKS,36433,2020-12-01
HONDA,HR-V,32511,2020-12-01
VW,VIRTUS,30880,2020-12-01
RENAULT,SANDERO,26344,2020-12-01
FORD,KA-SEDAN,25743,2020-12-01
VW,VOYAGE,24114,2020-12-01
FORD,ECOSPORT,24031,2020-12-01
HYUNDAI,HB20S,23984,2020-12-01
FIAT,UNO,22737,2020-12-01
TOYOTA,YARIS-HB,21431,2020-12-01
HONDA,CIVIC,20447,2020-12-01
VW,FOX-CROSS-FOX,20382,2020-12-01
RENAULT,DUSTER,19476,2020-12-01
VW,NIVUS,16278,2020-12-01
FIAT,CRONOS,16165,2020-12-01
TOYOTA,YARIS-SEDAN,16128,2020-12-01
GM,SPIN,15661,2020-12-01
RENAULT,LOGAN,13785,2020-12-01
HONDA,FIT,12833,2020-12-01
RENAULT,CAPTUR,10870,2020-12-01
FIAT,SIENA,10857,2020-12-01
HONDA,WR-V,10600,2020-12-01
NISSAN,VERSA,9906,2020-12-01
CITROEN,C4-CACTUS,9526,2020-12-01
TOYOTA,HILUX-SW4,9128,2020-12-01
GM,CRUZE-SEDAN,8802,2020-12-01
CAOA-CHERY,TIGGO-5X,8768,2020-12-01
TOYOTA,ETIOS-HB,8699,2020-12-01
VW,TIGUAN,8298,2020-12-01
HONDA,CITY,7280,2020-12-01
VW,UP,6924,2020-12-01
VW,JETTA,5796,2020-12-01
TOYOTA,ETIOS-SEDAN,5308,2020-12-01
GM,EQUINOX,4812,2020-12-01
BMW,320I,4794,2020-12-01
